Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt,Số_âm_HV,Tần_suất_rank
无,无,wú,vô,1,106
此,此,cǐ,thử,1,107
们,们,men,môn,1,108
傢,家,jiā,gia,1,109
家,家,jiā,gia / cô,2,109
長,长,zhǎng,trưởng / trường / trướng,3,110
长,长,zhǎng,tường,1,110
市,市,shì,thị,1,111
门,门,mén,môn,1,112
正,正,zhèng,chính / chánh / chinh,3,113
衕,同,tòng,đồng,1,114
同,同,tóng,đồng,1,114
吃,吃,chī,cật / khật,2,115
喫,吃,chī,khịt / khiết,2,115
天,天,tiān,thiên,1,116
比,比,bǐ,bỉ / tỉ / tỷ / bì / bí / bi,6,117
米,米,mǐ,mễ,1,118
外,外,wài,ngoại,1,119
卽,即,jí,tức,1,120
即,即,jí,tức,1,120
分,分,fēn,phân / phần / phận,3,121
問,问,wèn,vấn,1,122
问,问,wèn,vấn,1,122
話,话,huà,thoại,1,123
话,话,huà,thoại,1,123
打,打,dǎ,đả / tá,2,124
老,老,lǎo,lão,1,125
自,自,zì,tự,1,126
副,副,fù,phó / bộ,2,127
跟,跟,gēn,cân / ngân / ngấn,3,128
笑,笑,xiào,tiếu,1,129
則,则,zé,tắc,1,130
则,则,zé,trắc,1,130
像,像,xiàng,tượng,1,131
較,较,jiào,giác / giảo / giếu,3,132
较,较,jiào,~giác,1,132
国,国,guó,~quốc,1,133
死,死,sǐ,tử / tợ,2,134
省,省,shěng,tỉnh,1,135
住,住,zhù,trụ / trú,2,136
萬,万,wàn,vạn,1,137
万,万,wàn / mò,vạn / mặc,2,137
因,因,yīn,nhân,1,138
曾,曾,céng,tằng / tăng / từng,3,139
元,元,yuán,nguyên,1,140
呢,呢,ne,ni / nỉ / nài,3,141
手,手,shǒu,thủ,1,142
達,达,dá,đạt,1,143
达,达,dá,đạt,1,143
頭,头,tóu,đầu,1,144
头,头,tóu,đầu,1,144
作,作,zuò,tác,1,145
該,该,gāi,cai,1,146
该,该,gāi,cai,1,146
女,女,nǚ,nữ / nữa / nhữ / nứ,4,147
开,开,kāi,khai,1,148
路,路,lù,lộ,1,149
約,约,yuē,ước / yêu,2,150
约,约,yuē,ước,1,150
軍,军,jūn,quân,1,151
军,军,jūn,quân,1,151
称,称,chēng,xưng,1,152
名,名,míng,danh,1,153
二,二,èr,nhị / nhì,2,154
每,每,měi,mỗi / môi / hỏi / mũi / mủ / mọi / mỏi / mủi,8,155
属,属,shǔ,thục,1,156
谁,谁,shéi,thùy,1,157
受,受,shòu,thụ / thọ,2,158
带,带,dài,~đai,1,159
進,进,jìn,tiến,1,160
进,进,jìn,tuấn,1,160
先,先,xiān,tiên / tiến,2,161
應,应,yīng,ứng / ưng,2,162
应,应,yīng,ưng,1,162
吧,吧,ba,ba / và,2,163
縣,县,xiàn,huyện / huyền,2,164
县,县,xiàn,~hiển,1,164
心,心,xīn,tâm,1,165
佔,占,zhàn,chiếm / chiêm,2,166
占,占,zhàn,chiếm / chiêm,2,166
處,处,chù,xử / xứ,2,167
处,处,chù,xử / xứ,2,167
區,区,qū,khu / âu,2,168
区,区,qū,~khu,1,168
太,太,tài,thái,1,169
點,点,diǎn,điểm,1,170
点,点,diǎn,điểm,1,170
水,水,shuǐ,thủy / thuỷ,2,171
南,南,nán,nam,1,172
张,张,zhāng,chương,1,173
今,今,jīn,kim,1,174
间,间,jiān,gian,1,175
總,总,zǒng,tổng,1,176
总,总,zǒng,~tổng,1,176
回,回,huí,hồi / hối,2,177
山,山,shān,sơn / san,2,178
請,请,qǐng,thỉnh / tính,2,179
请,请,qǐng,~thỉnh,1,179
者,者,zhě,giả,1,180
黨,党,dǎng,đảng,1,181
党,党,dǎng,đảng,1,181
段,段,duàn,đoạn,1,182
法,法,fǎ,pháp,1,183
連,连,lián,liên,1,184
连,连,lián,~liên,1,184
站,站,zhàn,trạm,1,185
第,第,dì,đệ / đậy,2,186
共,共,gòng,cộng / cung,2,187
另,另,lìng,lánh,1,188
生,生,shēng,sinh / sanh,2,189
全,全,quán,toàn,1,190
行,行,xíng,hành / hàng / hạnh / hạng,4,191
倒,倒,dào,đảo / đáo,2,192
快,快,kuài,khoái,1,193
派,派,pài,phái,1,194
啊,啊,a,a / à,2,195
相,相,xiāng,tướng / tương,2,196
嗎,吗,ma,ma / mạ / mửa,3,197
吗,吗,ma,~ma,1,197
經,经,jīng,kinh,1,198
经,经,jīng,kinh,1,198
按,按,àn,án,1,199
找,找,zhǎo,hoa / trảo / quơ,3,200
口,口,kǒu,khẩu,1,201
均,均,jūn,quân / vận,2,202
種,种,zhǒng,chủng / trồng / chúng / chõng,4,203
种,种,zhǒng,~chõng,1,203
字,字,zì,tự,1,204
入,入,rù,nhập,1,205
眞,真,zhēn,chân,1,206
真,真,zhēn,chân,1,206
拿,拿,ná,nã,1,207
城,城,chéng,thành,1,208
馬,马,mǎ,mã,1,209
马,马,mǎ,mã,1,209
干,干,gàn,can,1,210
榦,干,gàn,can / cán / hàn,3,210
王,王,wáng,vương / vượng,2,211
據,据,jù,cứ / cớ,2,212
据,据,jù,cứ / cư,2,212
四,四,sì,tứ,1,213
子,子,zǐ,tử / tý / tí,3,214
书,书,shū,~thư,1,215
仍,仍,réng,nhưng,1,216
難,难,nán,nan / nạn / nam,3,217
难,难,nán,~nam,1,217
西,西,xī,tây / tê,2,218
東,东,dōng,đông / đang,2,219
东,东,dōng,đông,1,219
少,少,shǎo,thiếu / thiểu,2,220
次,次,cì,thứ,1,221
些,些,xiē,ta / tá,2,222
錢,钱,qián,tiền / tiễn,2,223
钱,钱,qián,triền,1,223
北,北,běi,bắc,1,224
气,气,qì,khí / khất,2,225
近,近,jìn,cận / ký / cấn,3,226
殺,杀,shā,sát / sái / tát,3,227
杀,杀,shā,sát,1,227
清,清,qīng,thanh,1,228
學,学,xué,học,1,229
学,学,xué,hạc,1,229
强,强,qiáng,cường,1,230
写,写,xiě,tả,1,231
既,既,jì,ký,1,232
旣,既,jì,ký,1,232
若,若,ruò,nhược / nhã,2,233
往,往,wǎng,vãng,1,234
台,台,tái,đài / thai / di,3,235
原,原,yuán,nguyên,1,236
髮,发,fà / fǎ,phát,1,237
發,发,fā,phát,1,237
发,发,fā,~phát,1,237
任,任,rèn,nhâm / nhiệm / nhậm,3,238
美,美,měi,mỹ / mỉ,2,239
未,未,wèi,vị / mùi,2,240
楊,杨,yáng,dương,1,241
杨,杨,yáng,dương,1,241
兵,兵,bīng,binh,1,242
非,非,fēi,phi,1,243
除,除,chú,trừ,1,244
邊,边,biān,biên,1,245
边,边,biān,biên,1,245
位,位,wèi,vị,1,246
鱼,鱼,yú,~ngư,1,247
明,明,míng,minh,1,248
設,设,shè,thiết / thết,2,249
设,设,shè,triệt,1,249
州,州,zhōu,châu,1,250
直,直,zhí,trực,1,251
定,定,dìng,định / đính,2,252
越,越,yuè,việt / hoạt,2,253
身,身,shēn,thân / quyên,2,254
重,重,zhòng,trọng / trùng,2,255
聲,声,shēng,thanh,1,256
声,声,shēng,thanh,1,256
五,五,wǔ,ngũ,1,257
低,低,dī,đê / đây,2,258
坐,坐,zuò,tọa / toạ,2,259
儿,儿,ér,nhân,1,260
極,极,jí,cực,1,261
极,极,jí,cực,1,261
放,放,fàng,phóng / phỏng,2,262
金,金,jīn,kim,1,263
紅,红,hóng,hồng / công,2,264
红,红,hóng,hồng,1,264
朝,朝,cháo,triều / triêu,2,265
爱,爱,ài,ái,1,266
知,知,zhī,tri,1,267
主,主,zhǔ,chủ / chúa,2,268
您,您,nín,nâm,1,269
报,报,bào,~bão,1,270
類,类,lèi,loại,1,271
类,类,lèi,~lệ,1,271
早,早,zǎo,tảo,1,272
雖,虽,suī,tuy,1,273
虽,虽,suī,~tuy,1,273
面,面,miàn,diện,1,274
麵,面,miàn,miến,1,274
麪,面,miàn,diện / miến,2,274
麫,面,miàn,miến,1,274
彆,别,biè,biệt,1,275
别,别,bié,tất,1,275
初,初,chū,sơ,1,276
性,性,xìng,tính,1,277
型,型,xíng,hình,1,278
讲,讲,jiǎng,giảng,1,279
部,部,bù,bộ,1,280
送,送,sòng,tống,1,281
遠,远,yuǎn,viễn / viển,2,282
远,远,yuǎn,viễn,1,282
反,反,fǎn,phản / phiên,2,283
指,指,zhǐ,chỉ,1,284
鄉,乡,xiāng,hương,1,285
乡,乡,xiāng,hương,1,285
方,方,fāng,phương,1,286
甚,甚,shèn,thậm,1,287
完,完,wán,hoàn,1,288
常,常,cháng,thường,1,289
意,意,yì,ý,1,290
隊,队,duì,đội,1,291
队,队,duì,~đội,1,291
涓,涓,juān,quyên / quen,2,292
式,式,shì,thức,1,293
左,左,zuǒ,tả / tá,2,294
拉,拉,lā,lạp / lấp,2,295
花,花,huā,hoa,1,296
電,电,diàn,điện,1,297
电,电,diàn,điện,1,297
錛,锛,bēn,bôn,1,298
锛,锛,bēn,~bôn,1,298
條,条,tiáo,điều / thiêu,2,299
条,条,tiáo,điêu,1,299
剑,剑,jiàn,kiếm,1,300
神,神,shén,thần,1,301
動,动,dòng,động,1,302
动,动,dòng,~động,1,302
湖,湖,hú,hồ,1,303
河,河,hé,hà,1,304
白,白,bái,bạch,1,305
官,官,guān,quan,1,306
师,师,shī,~sư,1,307
僅,仅,jǐn,cận,1,308
仅,仅,jǐn,~cận,1,308
教,教,jiào,giáo / giao,2,309
敎,教,jiào,giáo / giao,2,309
哪,哪,nǎ,na / ná / nả,3,310
變,变,biàn,biến / biện,2,311
变,变,biàn,biến,1,311
圖,图,tú,đồ,1,312
图,图,tú,~đồ,1,312
平,平,píng,bình / biền,2,313
府,府,fǔ,phủ,1,314
熱,热,rè,nhiệt,1,315
热,热,rè,nghiệt,1,315
製,制,zhì,chế,1,316
制,制,zhì,chế,1,316
望,望,wàng,vọng,1,317
歲,岁,suì,tuế,1,318
嵗,岁,suì,tuế,1,318
𡻕,岁,suì,~tuế,1,318
岁,岁,suì,~tuế,1,318
紝,纴,rèn,nhâm,1,319
轉,转,zhuǎn,chuyển / chuyến,2,320
转,转,zhuǎn,~chuyển,1,320
建,建,jiàn,kiến / kiển,2,321
命,命,mìng,mệnh,1,322
加,加,jiā,gia,1,323
管,管,guǎn,quản,1,324
場,场,chǎng,trường / tràng,2,325
场,场,chǎng,tường,1,325
跑,跑,pǎo,bào,1,326
穿,穿,chuān,xuyên,1,327
衆,众,zhòng,chúng,1,328
眾,众,zhòng,chúng,1,328
众,众,zhòng,~chổng,1,328
么,么,me,yêu,1,329
黑,黑,hēi,hắc,1,330
怕,怕,pà,phạ,1,331
風,风,fēng,phong,1,332
风,风,fēng,phong,1,332
信,信,xìn,tín,1,333
置,置,zhì,trí,1,334
急,急,jí,cấp,1,335
石,石,shí,thạch / đạn,2,336
黃,黄,huáng,hoàng,1,337
黄,黄,huáng,hoàng,1,337
镇,镇,zhèn,~trấn,1,338
取,取,qǔ,thủ,1,339
光,光,guāng,quang,1,340
竟,竟,jìng,cánh,1,341
力,力,lì,lực,1,342
数,数,shù,tố,1,343
曰,曰,yuē,viết,1,344
親,亲,qīn,thân / thấn,2,345
亲,亲,qīn,~thân,1,345
傳,传,chuán,truyền / truyện / truyến,3,346
传,传,chuán,~truyền,1,346
深,深,shēn,thâm,1,347
臉,脸,liǎn,kiểm / thiểm,2,348
脸,脸,liǎn,~kiểm,1,348
買,买,mǎi,mãi,1,349
买,买,mǎi,mãi,1,349
接,接,jiē,tiếp,1,350
茶,茶,chá,trà,1,351
且,且,qiě,thả / thư,2,352
辦,办,bàn,bạn / biện,2,353
办,办,bàn,~bạn,1,353
待,待,dài,đãi,1,354
文,文,wén,văn / vấn,2,355
提,提,tí,đề / để / thì,3,356
係,系,xì,hệ,1,357
系,系,xì,hệ,1,357
繫,系,xì,hệ,1,357
量,量,liàng,lượng / lương,2,358
忙,忙,máng,mang,1,359
盡,尽,jǐn,tận / tẫn,2,360
儘,尽,jǐn,tận / tẫn,2,360
尽,尽,jǐn,tận,1,360
喝,喝,hē,hát / húp / hét / ới,4,361
郡,郡,jùn,quận,1,362
车,车,chē,xa,1,363
啦,啦,la,lạp,1,364
剛,刚,gāng,cương,1,365
刚,刚,gāng,~cương,1,365
級,级,jí,cấp,1,366
级,级,jí,~cấp,1,366
背,背,bèi,bối / bội,2,367
离,离,lí,le,1,368
離,离,lí,ly / li,2,368
故,故,gù,cố,1,369
言,言,yán,ngôn / ngân,2,370
海,海,hǎi,hải,1,371
体,体,tǐ,thể,1,372
座,座,zuò,tọa / toạ / toà,3,373
酒,酒,jiǔ,tửu,1,374
通,通,tōng,thông,1,375
滿,满,mǎn,mãn,1,376
满,满,mǎn,mãn,1,376
呀,呀,ya,nha / nhá,2,377
李,李,lǐ,lý / lí,2,378
令,令,lìng,lệnh / linh,2,379
飛,飞,fēi,phi,1,380
飞,飞,fēi,phi,1,380
流,流,liú,lưu,1,381
德,德,dé,đức,1,382
足,足,zú,túc / tú,2,383
瞧,瞧,qiáo,tiều,1,384
合,合,hé,hợp / hiệp / cáp,3,385
右,右,yòu,hữu,1,386
罢,罢,bà,bãi,1,387
亦,亦,yì,diệc,1,388
改,改,gǎi,cải,1,389
刀,刀,dāo,đao,1,390
破,破,pò,phá,1,391
龍,龙,lóng,long / sủng,2,392
龙,龙,lóng,~long,1,392
需,需,xū,nhu,1,393
寬,宽,kuān,khoan,1,394
宽,宽,kuān,hoan,1,394
必,必,bì,tất,1,395
病,病,bìng,bệnh,1,396
随,随,suí,tùy,1,397
鬚,须,xū,tu,1,398
須,须,xū,tu / tua,2,398
须,须,xū,~húc,1,398
居,居,jū,cư / kí / cớ,3,399
呈,呈,chéng,trình,1,400
漢,汉,hàn,hán,1,401
汉,汉,hàn,hán,1,401
群,群,qún,quần,1,402
算,算,suàn,toán,1,403
戰,战,zhàn,chiến,1,404
战,战,zhàn,~chiến,1,404
眼,眼,yǎn,nhãn / nhẫn / nhởn / nhản / nhặn,5,405
安,安,ān,an,1,406
靠,靠,kào,kháo / khốc,2,407
藏,藏,cáng,tàng / tạng,2,408
落,落,luò,lạc,1,409
项,项,xiàng,hạng,1,410
首,首,shǒu,thủ / thú,2,411
掌,掌,zhǎng,chưởng,1,412
街,街,jiē,nhai,1,413
鐵,铁,tiě,thiết,1,414
铁,铁,tiě,thiết,1,414
物,物,wù,vật,1,415
林,林,lín,lâm,1,416
土,土,tǔ,thổ / độ / đỗ,3,417
菜,菜,cài,thái,1,418
現,现,xiàn,hiện,1,419
现,现,xiàn,~hiện,1,419
率,率,lǜ,suất / luật / soái / súy / soát / suý,6,420
火,火,huǒ,hỏa / hoả,2,421
橋,桥,qiáo,kiều / cao / khiêu,3,422
桥,桥,qiáo,kiều,1,422
股,股,gǔ,cổ,1,423
象,象,xiàng,tượng,1,424
古,古,gǔ,cổ,1,425
跳,跳,tiào,khiêu / khêu,2,426
某,某,mǒu,mỗ,1,427
驚,惊,jīng,kinh,1,428
惊,惊,jīng,kinh,1,428
搞,搞,gǎo,cảo / cào,2,429
藥,药,yào,dược,1,430
葯,药,yào,dược / ước / điếu,3,430
药,药,yào,~dược,1,430
衝,冲,chōng,xung,1,431
冲,冲,chōng,xung,1,431
雙,双,shuāng,song,1,432
双,双,shuāng,song,1,432
六,六,liù,lục,1,433
情,情,qíng,tình,1,434
鄂,鄂,è,ngạc,1,435
掉,掉,diào,điệu / trao / trạo,3,436
立,立,lì,lập,1,437
亂,乱,luàn,loạn,1,438
乱,乱,luàn,loạn,1,438
周,周,zhōu,chu,1,439
週,周,zhōu,chu,1,439
几,几,jǐ,kỷ / cơ / kỉ / ky,4,440
承,承,chéng,thừa,1,441
村,村,cūn,thôn,1,442
收,收,shōu,thu / thú,2,443
半,半,bàn,bán,1,444
供,供,gōng,cung / cúng,2,445
九,九,jiǔ,cửu / cưu,2,446
活,活,huó,hoạt / quạt,2,447
敢,敢,gǎn,cảm / cám,2,448
余,余,yú,dư,1,449
餘,余,yú,dư,1,449
穫,获,huò,hoạch,1,450
獲,获,huò,hoạch,1,450
获,获,huò,hoạch,1,450
兼,兼,jiān,kiêm,1,451
十,十,shí,thập,1,452
特,特,tè,đặc,1,453
船,船,chuán,thuyền,1,454
頂,顶,dǐng,đỉnh / đính,2,455
顶,顶,dǐng,đính,1,455
斷,断,duàn,đoạn / đoán,2,456
断,断,duàn,đoạn,1,456
似,似,sì,tự / tựa,2,457
毛,毛,máo,mao / mô,2,458
調,调,diào,điều / điệu,2,459
调,调,diào,~điều,1,459
吳,吴,wú,ngô,1,460
吴,吴,wú,ngô,1,460
形,形,xíng,hình,1,461
綫,线,xiàn,tuyến,1,462
线,线,xiàn,~tuyến,1,462
忽,忽,hū,hốt,1,463
七,七,qī,thất,1,464
久,久,jiǔ,cửu,1,465
史,史,shǐ,sử,1,466
轄,辖,xiá,hạt,1,467
辖,辖,xiá,~hạt,1,467
英,英,yīng,anh,1,468
賣,卖,mài,mại,1,469
卖,卖,mài,mại,1,469
血,血,xuè,huyết,1,470
畵,画,huà,hoạch,1,471
画,画,huà,hoạch,1,471
輕,轻,qīng,khinh / khánh,2,472
轻,轻,qīng,~khinh,1,472
皆,皆,jiē,giai,1,473
治,治,zhì,trị / trì,2,474
權,权,quán,quyền,1,475
权,权,quán,quyền,1,475
哭,哭,kū,khốc / khóc,2,476
空,空,kōng,không / khổng / khống,3,477
記,记,jì,ký / kí,2,478
记,记,jì,~kí,1,478
男,男,nán,nam,1,479
八,八,bā,bát,1,480
喜,喜,xǐ,hỉ / hỷ / hí,3,481
論,论,lùn,luận / luân,2,482
论,论,lùn,~luận,1,482
傷,伤,shāng,thương,1,483
伤,伤,shāng,~thương,1,483
架,架,jià,giá,1,484
歸,归,guī,quy,1,485
归,归,guī,~quy,1,485
退,退,tuì,thoái / thối,2,486
游,游,yóu,du,1,487
實,实,shí,thực / thật,2,488
实,实,shí,thực,1,488
差,差,chà / chā,sai / soa / si / sái,4,489
姓,姓,xìng,tính,1,490
朱,朱,zhū,chu / cho,2,491
网,网,wǎng,võng,1,492
皮,皮,pí,bì,1,493
刺,刺,cì,thứ / thích,2,494
睡,睡,shuì,thụy / thuỵ,2,495
選,选,xuǎn,tuyển / tuyến,2,496
选,选,xuǎn,~tuyển,1,496
科,科,kē,khoa,1,497
關,关,guān,quan / loan,2,498
关,关,guān,quan,1,498
化,化,huà,hóa / hoá / hoa,3,499
浜,浜,bāng,binh / banh,2,500
駡,骂,mà,mạ,1,501
罵,骂,mà,mạ,1,501
骂,骂,mà,mạ,1,501
底,底,dǐ,để,1,502
銆,銆,mo4,mộ,1,503
院,院,yuàn,viện,1,504
含,含,hán,hàm,1,505
洞,洞,dòng,động / đỗng / đọng,3,506
機,机,jī,cơ / ky,2,507
机,机,jī,cơ,1,507
色,色,sè,sắc,1,508
阿,阿,ā,a / á,2,509
裝,装,zhuāng,trang,1,510
装,装,zhuāng,~trang,1,510
理,理,lǐ,lý / lí,2,511
駐,驻,zhù,trú,1,512
驻,驻,zhù,chú,1,512
產,产,chǎn,sản,1,513
产,产,chǎn,sản,1,513
鋪,铺,pù,phô / phố,2,514
铺,铺,pù,phố,1,514
領,领,lǐng,lĩnh / lãnh,2,515
领,领,lǐng,~lãnh,1,515
塊,块,kuài,khối,1,516
块,块,kuài,~khối,1,516
怎,怎,zěn,chẩm / chẩn,2,517
封,封,fēng,phong,1,518
談,谈,tán,đàm,1,519
谈,谈,tán,đàm,1,519
諸,诸,zhū,chư / gia,2,520
诸,诸,zhū,~chư,1,520
覺,觉,jué,giác / giáo,2,521
觉,觉,jué,~giác,1,521
團,团,tuán,đoàn,1,522
糰,团,tuán,đoàn,1,522
团,团,tuán,~đoàn,1,522
肉,肉,ròu,nhục / nậu / nhụ,3,523
期,期,qī,kỳ / kì / ky,3,524
島,岛,dǎo,đảo,1,525
岛,岛,dǎo,đảo,1,525
代,代,dài,đại,1,526
短,短,duǎn,đoản,1,527
舊,旧,jiù,cựu,1,528
旧,旧,jiù,cữu,1,528
嘴,嘴,zuǐ,chủy / chuỷ,2,529
挂,挂,guà,quải / quẩy,2,530
掛,挂,guà,quải / quẩy,2,530
留,留,liú,lưu,1,531
民,民,mín,dân,1,532
敵,敌,dí,địch,1,533
敌,敌,dí,địch,1,533
京,京,jīng,kinh,1,534
詩,诗,shī,thi,1,535
诗,诗,shī,~thi,1,535
願,愿,yuàn,nguyện,1,536
愿,愿,yuàn,nguyện,1,536
墓,墓,mù,mộ,1,537
世,世,shì,thế,1,538
舉,举,jǔ,cử,1,539
举,举,jǔ,~cử,1,539
殿,殿,diàn,điện / điến,2,540
幫,帮,bāng,bang,1,541
帮,帮,bāng,~bang,1,541
抓,抓,zhuā,trảo / co / trao,3,542
換,换,huàn,hoán,1,543
换,换,huàn,hoán,1,543
件,件,jiàn,kiện,1,544
求,求,qiú,cầu,1,545
腳,脚,jiǎo,cước,1,546
脚,脚,jiǎo,cước,1,546
房,房,fáng,phòng / bàng,2,547
殑,殑,qíng,căng,1,548
宫,宫,gōng,cung,1,549
云,云,yún,vân,1,550
雲,云,yún,vân,1,550
食,食,shí,thực / tự,2,551
错,错,cuò,~thó,1,552
牛,牛,niú,ngưu,1,553
拜,拜,bài,bái,1,554
飯,饭,fàn,phạn / phãn,2,555
饭,饭,fàn,phạm,1,555
推,推,tuī,thôi / suy,2,556
狀,状,zhuàng,trạng,1,557
状,状,zhuàng,~trạng,1,557
複,复,fù,hạ / phức,2,558
復,复,fù,phục / hạ / phúc,3,558
复,复,fù,hạ,1,558
句,句,jù,cú / câu / cấu,3,559
克,克,kè,khắc,1,560
救,救,jiù,cứu,1,561
樓,楼,lóu,lâu / lầu,2,562
楼,楼,lóu,lưu,1,562
勝,胜,shèng,thắng / thăng,2,563
胜,胜,shèng,thắng,1,563
具,具,jù,cụ,1,564
鬥,斗,dòu,đấu,1,565
斗,斗,dòu / dǒu,đấu / đẩu,2,565
層,层,céng,tầng / tằng,2,566
层,层,céng,tằng,1,566
集,集,jí,tập,1,567
著,著,zhù / zhe,trước / trứ,2,568
片,片,piàn,phiến,1,569
奔,奔,bēn,bôn,1,570
章,章,zhāng,chương,1,571
屆,届,jiè,giới,1,572
届,届,jiè,giới,1,572
木,木,mù,mộc,1,573
怪,怪,guài,quái,1,574
江,江,jiāng,giang,1,575
抱,抱,bào,bão,1,576
職,职,zhí,chức,1,577
职,职,zhí,~chắc,1,577
拍,拍,pāi,phách / phếch,2,578
交,交,jiāo,giao,1,579
表,表,biǎo,biểu,1,580
降,降,jiàng,hàng / giáng,2,581
田,田,tián,điền,1,582
營,营,yíng,doanh / dinh,2,583
营,营,yíng,~giềng,1,583
修,修,xiū,tu,1,584
考,考,kǎo,khảo,1,585
員,员,yuán,viên / vân,2,586
员,员,yuán,~viên,1,586
銀,银,yín,ngân,1,587
银,银,yín,ngân,1,587
欲,欲,yù,dục,1,588
慾,欲,yù,dục,1,588
何,何,hé,hà,1,589
停,停,tíng,đình,1,590
界,界,jiè,giới,1,591
解,解,jiě,giải / giới / giái,3,592
草,草,cǎo,thảo / tháo,2,593
鐨,镄,fèi,phí,1,594
剉,剉,cuò,tỏa / toả,2,595
